date_sk,currency_code,rate_to_inr
20200101,AED,19.4478
20200102,AED,19.4206
20200103,AED,19.4396
20200104,AED,19.4396
20200105,AED,19.4396
20200106,AED,19.5349
20200107,AED,19.5406
20200108,AED,19.5541
20200109,AED,19.4629
20200110,AED,19.4335
20200111,AED,19.4335
20200112,AED,19.4335
20200113,AED,19.3187
20200114,AED,19.2502
20200115,AED,19.3552
20200116,AED,19.2479
20200117,AED,19.3178
20200118,AED,19.3178
20200119,AED,19.3178
20200120,AED,19.3404
20200121,AED,19.3927
20200122,AED,19.4444
20200123,AED,19.4063
20200124,AED,19.4156
20200125,AED,19.4156
20200126,AED,19.4156
20200127,AED,19.417
20200128,AED,19.5049
20200129,AED,19.3893
20200130,AED,19.4084
20200131,AED,19.5104
20200201,AED,19.5104
20200202,AED,19.5104
20200203,AED,19.4729
20200204,AED,19.4641
20200205,AED,19.4069
20200206,AED,19.4348
20200207,AED,19.46
20200208,AED,19.46
20200209,AED,19.46
20200210,AED,19.4687
20200211,AED,19.403
20200212,AED,19.4559
20200213,AED,19.4045
20200214,AED,19.4139
20200215,AED,19.4139
20200216,AED,19.4139
20200217,AED,19.4724
20200218,AED,19.4217
20200219,AED,19.5417
20200220,AED,19.5519
20200221,AED,19.5091
20200222,AED,19.5091
20200223,AED,19.5091
20200224,AED,19.5702
20200225,AED,19.6791
20200226,AED,19.5634
20200227,AED,19.5919
20200228,AED,19.5934
20200229,AED,19.5934
20200301,AED,19.5934
20200302,AED,19.6481
20200303,AED,19.8234
20200304,AED,20.1125
20200305,AED,20.1547
20200306,AED,20.2588
20200307,AED,20.2588
20200308,AED,20.2588
20200309,AED,20.1464
20200310,AED,20.2664
20200311,AED,20.1866
20200312,AED,20.3541
20200313,AED,20.2596
20200314,AED,20.2596
20200315,AED,20.2596
20200316,AED,20.3654
20200317,AED,20.457
20200318,AED,20.3303
20200319,AED,20.3953
20200320,AED,20.4559
20200321,AED,20.4559
20200322,AED,20.4559
20200323,AED,20.8659
20200324,AED,21.191
20200325,AED,21.0468
20200326,AED,20.9956
20200327,AED,20.7539
20200328,AED,20.7539
20200329,AED,20.7539
20200330,AED,20.5422
20200331,AED,20.5242
20200401,AED,20.5038
20200402,AED,21.1216
20200403,AED,20.9995
20200404,AED,20.9995
20200405,AED,20.9995
20200406,AED,20.7887
20200407,AED,20.9991
20200408,AED,20.5882
20200409,AED,20.9352
20200410,AED,20.6828
20200411,AED,20.6828
20200412,AED,20.6828
20200413,AED,20.7225
20200414,AED,20.9463
20200415,AED,20.8576
20200416,AED,20.8253
20200417,AED,21.1148
20200418,AED,21.1148
20200419,AED,21.1148
20200420,AED,20.8236
20200421,AED,21.0174
20200422,AED,21.1461
20200423,AED,20.796
20200424,AED,20.6563
20200425,AED,20.6563
20200426,AED,20.6563
20200427,AED,20.7651
20200428,AED,20.8663
20200429,AED,20.8229
20200430,AED,20.4862
20200501,AED,20.5407
20200502,AED,20.5407
20200503,AED,20.5407
20200504,AED,20.528
20200505,AED,20.6875
20200506,AED,20.7357
20200507,AED,20.8691
20200508,AED,20.7147
20200509,AED,20.7147
20200510,AED,20.7147
20200511,AED,20.5617
20200512,AED,20.7794
20200513,AED,20.6064
20200514,AED,20.537
20200515,AED,20.5366
20200516,AED,20.5366
20200517,AED,20.5366
20200518,AED,20.6426
20200519,AED,20.5786
20200520,AED,20.6065
20200521,AED,20.6385
20200522,AED,20.5815
20200523,AED,20.5815
20200524,AED,20.5815
20200525,AED,20.6877
20200526,AED,20.7229
20200527,AED,20.6412
20200528,AED,20.6622
20200529,AED,20.6032
20200530,AED,20.6032
20200531,AED,20.6032
20200601,AED,20.5453
20200602,AED,20.6154
20200603,AED,20.4364
20200604,AED,20.5657
20200605,AED,20.5438
20200606,AED,20.5438
20200607,AED,20.5438
20200608,AED,20.5753
20200609,AED,20.5216
20200610,AED,20.5502
20200611,AED,20.5975
20200612,AED,20.6781
20200613,AED,20.6781
20200614,AED,20.6781
20200615,AED,20.6735
20200616,AED,20.7216
20200617,AED,20.7937
20200618,AED,20.8018
20200619,AED,20.7935
20200620,AED,20.7935
20200621,AED,20.7935
20200622,AED,20.7697
20200623,AED,20.6895
20200624,AED,20.5494
20200625,AED,20.5937
20200626,AED,20.5596
20200627,AED,20.5596
20200628,AED,20.5596
20200629,AED,20.5844
20200630,AED,20.6093
20200701,AED,20.6208
20200702,AED,20.5367
20200703,AED,20.3838
20200704,AED,20.3838
20200705,AED,20.3838
20200706,AED,20.3298
20200707,AED,20.365
20200708,AED,20.4507
20200709,AED,20.402
20200710,AED,20.5188
20200711,AED,20.5188
20200712,AED,20.5188
20200713,AED,20.4663
20200714,AED,20.5392
